product_id,year_month,units_sold,revenue,customer_count,churn_rate
1,2016-11,1,46.69988767881452,1,0.119
1,2018-05,5,110.7370898873752,1,0.286
1,2018-11,2,98.22915887396296,1,0.222
1,2019-09,3,60.25807521738753,1,0.184
1,2020-03,1,41.82050288722075,1,0.055
1,2021-01,2,58.82317605405699,2,0.055
1,2021-02,5,152.95143870729598,1,0.027
1,2022-05,5,192.64166873691397,1,0.261
1,2022-08,2,90.00597143593103,1,0.184
1,2023-02,2,35.442343007734145,1,0.215
1,2023-03,4,7.757890423014958,1,0.016
1,2023-05,5,166.08238407852525,1,0.291
1,2023-10,3,107.36754438115968,1,0.251
2,2016-10,1,44.19893383837413,1,0.072
2,2018-05,1,29.09857046189382,1,0.063
2,2019-05,3,28.82300670401185,1,0.063
2,2019-07,5,239.75338777420816,1,0.098
2,2020-07,3,81.0472160097345,1,0.162
2,2020-09,4,180.3011983745278,1,0.135
2,2020-11,4,101.66618130347987,1,0.094
2,2021-04,2,70.24248159594065,1,0.187
2,2021-05,4,104.64251131280297,1,0.05
2,2021-06,2,71.74474390411444,1,0.095
2,2021-09,8,200.0938816117216,2,0.116
2,2021-10,7,232.8150277508671,2,0.142
2,2021-12,4,16.541112310401886,1,0.238
2,2022-02,5,168.04441175708135,1,0.068
2,2022-03,4,65.7818161254382,1,0.159
2,2022-07,6,210.24887828036645,2,0.182
2,2022-12,4,79.5618761872267,1,0.023
2,2023-01,2,94.19075344368622,1,0.186
2,2023-02,5,140.47481851783164,1,0.059
2,2023-03,4,69.73456128900739,1,0.029
3,2015-11,1,29.917975450937934,1,0.285
3,2016-05,3,110.0732647895146,1,0.29
3,2018-08,2,13.518026065868114,1,0.244
3,2018-12,3,67.86170494489559,1,0.098
3,2019-03,6,288.3704208296302,2,0.038
3,2019-05,4,17.63916816086828,1,0.208
3,2019-09,2,42.43769258134917,1,0.138
3,2020-04,5,235.9455002773965,1,0.045
3,2020-05,4,162.17803859551705,1,0.154
3,2020-06,3,21.59651777777653,1,0.02
3,2021-03,2,56.55016252018467,1,0.274
3,2021-04,2,42.068743213212585,2,0.085
3,2021-06,4,35.23152243751527,1,0.202
3,2021-07,4,60.14613734813469,1,0.1
3,2022-04,4,175.1307186287714,1,0.161
3,2022-09,1,49.1099649485485,1,0.169
3,2022-10,1,21.23098543877187,1,0.064
3,2023-03,3,10.280637778704648,1,0.291
3,2023-04,1,9.187249320149997,1,0.235
3,2023-06,5,95.78607606973569,1,0.282
3,2023-07,5,60.55229302868657,1,0.269
3,2023-09,4,150.5643205694028,1,0.183
4,2016-05,2,48.48125488154618,1,0.277
4,2017-08,4,76.5436224406678,1,0.036
4,2019-05,1,9.350248364492742,1,0.067
4,2019-06,1,31.372976491835747,1,0.023
4,2019-08,1,43.79302314055695,1,0.104
4,2019-12,3,62.82216482464745,1,0.123
4,2021-04,3,37.129426999576765,1,0.089
4,2021-12,4,137.58018655637167,1,0.25
4,2022-04,5,212.59990468955652,2,0.113
4,2022-05,5,27.29068722547477,1,0.091
4,2022-06,5,179.21943650812983,1,0.167
4,2022-08,5,164.3888340118086,1,0.051
4,2022-09,7,280.8217549240967,2,0.243
4,2022-10,3,142.5704982023779,1,0.032
4,2022-12,3,57.293447229134486,1,0.296
4,2023-01,2,56.01741913732704,1,0.234
4,2023-02,5,110.028056714702,1,0.068
4,2023-04,2,35.31905961656467,1,0.012
4,2023-05,4,144.64813321979003,1,0.246
4,2023-09,3,37.97235836690256,1,0.215
4,2023-10,5,92.28348919893504,1,0.221
